-1,-1,-1,61,-1,-1,-1,-1,12,-1,-1,43
94,27,-1,-1,-1,-1,-1,11,-1,-1,-1,-1
73,-1,-1,47,39,-1,95,73,-1,-1,7,-1
-1,-1,24,-1,-1,-1,53,-1,-1,-1,65,-1
-1,-1,22,-1,-1,46,-1,-1,83,-1,-1,-1
-1,22,81,-1,-1,40,-1,-1,24,94,-1,66
-1,79,-1,-1,84,-1,-1,2,-1,-1,-1,-1
-1,9,33,-1,-1,82,-1,-1,43,59,-1,41
55,-1,-1,65,-1,-1,-1,-1,-1,-1,39,-1
83,-1,-1,25,41,-1,14,47,-1,-1,49,-1
-1,-1,-1,-1,72,-1,18,-1,-1,70,-1,-1
-1,12,0,-1,-1,79,-1,-1,51,72,-1,26
7,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,7
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
